"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"01260","皓天財經集團","居民服務","主板",2000,"6.84","13.90億",1.39,1.34,"80.03"
"01277","力量能源","煤炭","主板",2000,"0.27","106.22億",1.26,1.2,"100.00"
"01300","俊知集團","通訊器材","主板",2000,"2.37","13.38億",1.2,1.25,"80.17"
"02012","陽光油砂","石油天然氣","主板",500,"0.23","140.21億",4.86,4.7,"100.00"
"01266","西王特鋼","一般金屬","主板",1000,"1.64","53.00億",2.65,2.13,"100.00"
"01830","必瘦站","紡織服飾","主板",4000,"32.47","8.80億",0.88,0.89,"100.00"
"01312","同方康泰","建筑","主板",3000,"2.96","6.60億",1,1.09,"100.00"
"01315","允升國際","建筑","主板",2000,"4.20","3.60億",1.2,1.6,"100.00"
"01803","北京體育文化","貨運物流","主板",2500,"20.56","7.44億",0.93,1.23,"30.00"
"01263","柏能集團","通訊器材","主板",2000,"1.50","6.68億",1.6,1.59,"100.00"
"01281","隆基泰和智慧能源","地產","主板",4000,"0.25","5.42億",0.9,1.01,"100.00"
"01303","滙力資源","一般金屬","主板",2000,"0.74","17.00億",1.7,1.77,"100.00"
